thisID,current_acronym,current_name,centroid_x,centroid_y,correct_allen_id,notes
45,SPVOrdm,Spinal nucleus of the trigeminal oral part rostral dorsomedial part,1030,1863,,
574,TRN,Tegmental reticular nucleus,2231,1863,,
886,RSPv,Retrosplenial area ventral part,5101,1874,,
964,ee,corpus callosum extreme capsule,6627,1881,,
943,MOp2/3,Primary motor area Layer 2/3,6144,1888,,
940,cing,cingulum bundle,6364,1894,,
814,DP,Dorsal peduncular area,4766,1895,,
942,EP,Endopiriform nucleus,6458,1897,,
946,PH,Posterior hypothalamic nucleus,6689,1900,,
669,VIS,Visual areas,3495,1905,,
945,SSp-ul6a,Primary somatosensory area upper limb layer 6a,6665,1914,,
577,SSp-ul4,Primary somatosensory area upper limb layer 4,1992,1915,,
578,BSTpr,Bed nuclei of the stria terminalis posterior division principal nucleus,1930,1919,,
846,DN,Dentate nucleus,4012,1923,,
612,NLL,Nucleus of the lateral lemniscus,2385,1925,,
611,hbc,habenular commissure,2303,1929,,
913,VIS4,Visual areas layer 4,5459,1941,,
663,COApm,Cortical amygdalar area posterior part medial zone,3682,1948,,
983,lfbs,lateral forebrain bundle system,6188,1949,,
947,MO6b,Somatomotor areas Layer 6b,6569,1953,,
708,AHNc,Anterior hypothalamic nucleus central part,3888,1955,,
984,CENT3,Lobule III,6382,1956,,
670,SSp-tr2/3,Primary somatosensory area trunk layer 2/3,3357,1969,,
700,AHNa,Anterior hypothalamic nucleus anterior part,2926,1972,,
706,OP,Olivary pretectal nucleus,3742,1974,,
693,VMH,Ventromedial hypothalamic nucleus,2994,1976,,
978,PGRNl,Paragigantocellular reticular nucleus lateral part,6180,1976,,
557,TM,Tuberomammillary nucleus,1423,1978,,
850,uf,uncinate fascicle,4095,1985,,
417,VISrl,Rostrolateral visual area,1628,1990,,
840,In,olfactory nerve,3963,1999,,
919,ACAd6a,Anterior cingulate area dorsal part layer 6a,5510,2001,,
998,FS,Fundus of striatum,6366,2002,,
711,CU,Cuneate nucleus,3895,2012,,
890,PBm,Parabrachial nucleus medial division,5351,2018,,
699,AIv6b,Agranular insular area ventral part layer 6b,2685,2019,,
848,IIn,optic nerve,4007,2022,,
892,apd,ansa peduncularis,5013,2036,,
698,OLF,Olfactory areas,2661,2047,,
660,PVHpmm,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part medial zone,3614,2051,,
683,PTLp5,Posterior parietal association areas layer 5,2864,2057,,
108,chpl,choroid plexus,1144,2068,,
672,CP,Caudoputamen,3531,2068,,
845,SUBd-sp,Subiculum dorsal part pyramidal layer,4066,2069,,
657,SSp-m2/3,Primary somatosensory area mouth layer 2/3,3846,2076,,
955,LRNm,Lateral reticular nucleus magnocellular part,6747,2077,,
957,UVU,Uvula (IX),6197,2078,,
956,fa,corpus callosum anterior forceps,6443,2087,,
891,PBlv,Parabrachial nucleus lateral division ventral lateral part,5010,2088,,
853,SUBv-m,Subiculum ventral part molecular layer,4653,2092,,
834,SCzo,Superior colliculus zonal layer,4292,2093,,
661,VII,Facial motor nucleus,3721,2097,,
650,jrb,juxtarestiform body,3299,2108,,
560,CNspg,Cochlear nucleus subpedunclular granular region,1317,2114,,
938,PGRN,Paragigantocellular reticular nucleus,6753,2120,,
832,IIIn,oculomotor nerve,4282,2128,,
818,PALd,Pallidum dorsal region,4486,2139,,
662,GU6b,Gustatory areas layer 6b,3693,2141,,
949,von,vomeronasal nerve,6704,2144,,
614,TU,Tuberal nucleus,2395,2149,,
819,ACAv6b,Anterior cingulate area ventral part 6b,4321,2149,,
916,bsc,brachium of the superior colliculus,5131,2149,,
997,root,root,6209,2152,,
671,RSPagl1,Retrosplenial area lateral agranular part layer 1,3611,2155,,
805,VISpm1,posteromedial visual area layer 1,3859,2159,,
934,ENTmv,Entorhinal area medial part ventral zone,5186,2160,,
817,supa,supraoptic commissures anterior,4426,2162,,
833,supv,supraoptic commissures ventral,4250,2166,,
929,SSp-n6b,Primary somatosensory area nose layer 6b,5026,2166,,
648,MOp5,Primary motor area Layer 5,3384,2170,,
995,PMR,Paramedian reticular nucleus,6523,2177,,
655,COApl,Cortical amygdalar area posterior part lateral zone,3690,2179,,
73,VS,ventricular systems,868,2180,,
820,ICd,Inferior colliculus dorsal nucleus,4492,2187,,
908,act,anterior commissure temporal limb,4939,2187,,
910,ORBm6a,Orbital area medial part layer 6a,4975,2192,,
996,AId1,Agranular insular area dorsal part layer 1,6662,2192,,
676,DMHp,Dorsomedial nucleus of the hypothalamus posterior part,2495,2195,,
680,ORBvl6b,Orbital area ventrolateral part layer 6b,2381,2198,,
682,NTSl,Nucleus of the solitary tract lateral part,2348,2203,,
999,ENTl2/3,Entorhinal area lateral part layer 2/3,6128,2206,,
912,LING,Lingula (I),5009,2210,,
1012,crt,corticorubral tract,5360,2210,,
930,PF,Parafascicular nucleus,5004,2213,,
645,VERM,Vermal regions,2851,2216,,
1014,GENv,Geniculate group ventral thalamus,6651,2230,,
1013,,,6468,2233,,
933,VIIIn,vestibulocochlear nerve,5111,2242,,
694,AIv2/3,Agranular insular area ventral part layer 2/3,2271,2246,,
909,ENT,Entorhinal area,4994,2248,,
935,ACAd1,Anterior cingulate area dorsal part layer 1,5056,2255,,
990,AUDv4,Ventral auditory area layer 4,6495,2259,,
931,PG,Pontine gray,4999,2262,,
989,FN,Fastigial nucleus,6363,2264,,
649,VISal6b,Anterolateral visual area layer 6b,3337,2266,,
839,DMX,Dorsal motor nucleus of the vagus nerve,4398,2274,,
704,AIv1,Agranular insular area ventral part layer 1,2334,2278,,
651,NTS,Nucleus of the solitary tract,3209,2281,,
678,AUDd4,Dorsal auditory area layer 4,2492,2282,,
882,MOp6b,Primary motor area Layer 6b,4763,2282,,
558,SSp-n1,Primary somatosensory area nose layer 1,1057,2286,,
654,SSp-n4,Primary somatosensory area nose layer 4,3344,2293,,
646,DP5,Dorsal peduncular area layer 5,2891,2296,,
803,PAL,Pallidum,3270,2296,,
656,MOs1,Secondary motor area layer 1,3250,2307,,
801,VIS1,Visual areas layer 1,3821,2308,,
987,P-mot,Pons motor related,6749,2314,,
918,ENTl,Entorhinal area lateral part,5249,2321,,
679,CS,Superior central nucleus raphe,2469,2330,,
690,mtt,mammillothalamic tract,2902,2333,,
889,SSp-n6a,Primary somatosensory area nose layer 6a,6681,2336,,
981,SSp-bfd1,Primary somatosensory area barrel field layer 1,6378,2338,,
798,VIIn,facial nerve,3859,2339,,
926,ENTm,Entorhinal area medial part dorsal zone,4790,2339,,
881,PBl,Parabrachial nucleus lateral division,4488,2347,,
691,NTSm,Nucleus of the solitary tract medial part,2809,2353,,
797,ZI,Zona incerta,3795,2364,,
681,mtg,mammillotegmental tract,2310,2368,,
804,FF,Fields of Forel,2982,2384,,
695,CTXpl,Cortical plate,2477,2395,,
868,PBld,Parabrachial nucleus lateral division dorsal lateral part,5027,2401,,
871,sst,spinothalamic tract,4578,2409,,
861,SUBv-sr,Subiculum ventral part stratum radiatum,4604,2414,,
860,PBlc,Parabrachial nucleus lateral division central lateral part,4918,2421,,
969,ORBvl1,Orbital area ventrolateral part layer 1,5929,2430,,
239,ATN,Anterior group of the dorsal thalamus,167,2439,,
280,B,Barrington's nucleus,830,2452,,
880,DTN,Dorsal tegmental nucleus,4095,2461,,
823,DGmb-sg,Dentate gyrus medial blade granule cell layer,4499,2494,,
292,BA,Bed nucleus of the accessory olfactory tract,798,2499,,
